,open,high,low,close,volume,edit_count,sentiment,neg_sentiment,tomorrow,target,RSI,Stoch_RSI,SMA(9),SMA(14),EMA(7),EMA(25),EMA(99),MACD,Signal Line,MACD Histogram,Fib23.599999999999998%,Fib38.2%,Fib50.0%,Fib61.8%,Fib78.60000000000001%,Fib100.0%,fib23.6%,fib38.2%,fib50.0%,fib61.8%,fib78.6%,fib100.0%,fib23.6%,fib38.2%,fib50.0%,fib61.8%,fib78.6%,fib100.0%,Tenkan-sen,Kijun-sen,Senkou Span A,Senkou Span B,Middle Band,Upper Band,Lower Band,OBV
2014-12-27,327.5830078125,328.9110107421875,312.6300048828125,315.8630065917969,15185200,8.3,-0.4731969405922991,0.7060408744372159,317.239013671875,1,37.130721968120234,0.8128757227293968,324.4921061197917,326.83142525809154,323.6724000655438,338.24107894907496,369.39944877608224,-11.22468838809067,-10.947733066717642,-0.2769553213730269,325.068693359375,322.6916665039063,320.7705078125,318.8493491210937,316.11414013671873,312.6300048828125,325.068693359375,322.6916665039063,320.7705078125,318.8493491210937,316.11414013671873,312.6300048828125,325.068693359375,322.6916665039063,320.7705078125,318.8493491210937,316.11414013671873,312.6300048828125,321.5279998779297,344.13499450683594,385.8482437133789,388.8594970703125,334.3278472900391,364.8846361133111,303.77105846676704,-171537432.0
2014-12-28,316.1600036621094,320.02801513671875,311.0780029296875,317.239013671875,11676600,7.366666666666666,-0.4677084686193642,0.7031015373515374,312.6700134277344,0,35.616256877015104,0.7471282953845814,324.4249979654948,324.37478419712613,322.0640534671266,336.6255354662134,368.3562400739981,-11.226053038628379,-11.00339706109979,-0.22265597752858923,317.91581225585935,316.6091104736328,315.5530090332031,314.4969075927734,312.9933055419922,311.0780029296875,317.91581225585935,316.6091104736328,315.5530090332031,314.4969075927734,312.9933055419922,311.0780029296875,317.91581225585935,316.6091104736328,315.5530090332031,314.4969075927734,312.9933055419922,311.0780029296875,323.6824951171875,343.6289978027344,388.00624084472656,388.8594970703125,332.09434814453124,360.625754476779,303.5629418122835,-159860832.0
2014-12-29,317.70098876953125,320.2669982910156,312.3070068359375,312.6700134277344,12302500,7.833333333333333,-0.4707084875029987,0.7058793151293152,310.73699951171875,0,36.13551865130873,0.7696709911382336,322.50433349609375,322.04085649762834,319.71554345727856,334.782803001715,367.2425155410728,-11.463668632871304,-11.095451375454093,-0.3682172574172107,318.3884403076172,317.2262815551758,316.28700256347656,315.34772357177735,314.0104450073242,312.3070068359375,318.3884403076172,317.2262815551758,316.28700256347656,315.34772357177735,314.0104450073242,312.3070068359375,318.3884403076172,317.2262815551758,316.28700256347656,315.34772357177735,314.0104450073242,312.3070068359375,323.6824951171875,341.7119903564453,388.1007385253906,388.8594970703125,330.11689910888674,358.2548777839269,301.9789204338466,-172163332.0
2014-12-30,312.718994140625,314.8089904785156,309.37298583984375,310.73699951171875,12528300,9.166666666666666,-0.4589737158468003,0.7000683317321248,320.1929931640625,1,41.95709673772105,1.0,321.3814459906684,320.87478419712613,317.4709074708886,332.9331258101769,366.1124052204857,-11.673395138665512,-11.211040128096377,-0.4623550105691354,313.5260933837891,312.73243670654296,312.0909881591797,311.4495396118164,310.5362908325195,309.37298583984375,313.5260933837891,312.73243670654296,312.0909881591797,311.4495396118164,310.5362908325195,309.37298583984375,313.5260933837891,312.73243670654296,312.0909881591797,311.4495396118164,310.5362908325195,309.37298583984375,322.8299865722656,341.7119903564453,386.81524658203125,388.8594970703125,328.3354995727539,356.65289283530467,300.01810631020317,-184691632.0
2014-12-31,310.91400146484375,320.1929931640625,310.21099853515625,320.1929931640625,13942900,9.2,-0.4503606392338951,0.6972905539543471,314.2489929199219,0,50.20114030537291,1.0,320.0822245279948,320.90456935337613,318.1514288941821,331.95311560662964,365.19401697935723,-10.95035635311882,-11.158903373100866,0.2085470199820456,317.8372424316406,316.3798712158203,315.2019958496094,314.02412048339846,312.3471453857422,310.21099853515625,317.8372424316406,316.3798712158203,315.2019958496094,314.02412048339846,312.3471453857422,310.21099853515625,317.8372424316406,316.3798712158203,315.2019958496094,314.02412048339846,312.3471453857422,310.21099853515625,322.8299865722656,341.3399963378906,386.81524658203125,388.8594970703125,326.8198486328125,353.327960404883,300.31173686074203,-170748732.0
2015-01-01,320.43499755859375,320.43499755859375,314.00299072265625,314.2489929199219,8036550,9.5,-0.4403790088004836,0.6923954490592422,315.0320129394531,1,51.40929042987376,1.0,317.8241136338976,321.1083548409598,317.17581990061706,330.59126001534446,364.17511649816856,-10.733247849979591,-11.073772268476612,0.3405244184970204,318.9170439453125,317.97797094726565,317.218994140625,316.46001733398435,315.37944018554685,314.00299072265625,318.9170439453125,317.97797094726565,317.218994140625,316.46001733398435,315.37944018554685,314.00299072265625,318.9170439453125,317.97797094726565,317.218994140625,316.46001733398435,315.37944018554685,314.00299072265625,322.05699157714844,340.2619934082031,386.81524658203125,388.8594970703125,324.9051986694336,349.01376891162977,300.79662842723747,-178785282.0
2015-01-02,314.0790100097656,315.8389892578125,313.56500244140625,315.0320129394531,7860650,9.633333333333333,-0.4218462103020876,0.6828716395354327,281.0820007324219,0,48.52916472652459,0.887396505093217,316.9905598958333,320.9075709751674,316.63986816032605,329.3943948556605,363.1922544269943,-10.378369245107478,-10.934691663802784,0.5563224186953057,315.30232836914064,314.97032629394533,314.7019958496094,314.4336654052734,314.05163562011717,313.56500244140625,315.30232836914064,314.97032629394533,314.7019958496094,314.4336654052734,314.05163562011717,313.56500244140625,315.30232836914064,314.97032629394533,314.7019958496094,314.4336654052734,314.05163562011717,313.56500244140625,320.39849853515625,340.1304931640625,388.6405029296875,388.8594970703125,323.28799896240236,345.2977856555325,301.2782122692722,-170924632.0
2015-01-03,314.84600830078125,315.1499938964844,281.0820007324219,281.0820007324219,33054400,10.0,-0.4558126085412234,0.7034271950909883,264.19500732421875,0,29.183790344572287,0.1310556401251125,312.7765604654948,317.4165714808873,307.75040130335003,325.67805684618065,361.55004935310285,-12.6903215199697,-11.285817635036167,-1.4045038849335327,307.1099475097656,302.1360205078125,298.1159973144531,294.0959741210938,288.37255126953124,281.0820007324219,307.1099475097656,302.1360205078125,298.1159973144531,294.0959741210938,288.37255126953124,281.0820007324219,307.1099475097656,302.1360205078125,298.1159973144531,294.0959741210938,288.37255126953124,281.0820007324219,306.2530059814453,322.0744934082031,386.78224182128906,388.8594970703125,319.76049957275393,345.01768355205024,294.5033155934576,-203979032.0
2015-01-04,281.14599609375,287.2300109863281,257.61199951171875,264.19500732421875,55629100,10.6,-0.477216809333536,0.7312049728687661,274.4739990234375,1,27.371232086157605,0.0,305.69556003146704,313.3702872140067,296.86155280856724,320.94859149833746,359.60294851252513,-15.704171676485146,-12.169488443325964,-3.534683233159182,280.24016027832033,275.91593060302733,272.42100524902344,268.92607989501954,263.95025396728516,257.61199951171875,280.24016027832033,275.91593060302733,272.42100524902344,268.92607989501954,263.95025396728516,257.61199951171875,280.24016027832033,275.91593060302733,272.42100524902344,268.92607989501954,263.95025396728516,257.61199951171875,293.2615051269531,309.4844970703125,373.08824920654297,388.8594970703125,315.7029998779297,348.5786395745909,282.8273601812685,-259608132.0
2015-01-05,265.0840148925781,278.34100341796875,265.0840148925781,274.4739990234375,43962800,10.666666666666666,-0.4772368885489036,0.7312049728687661,286.1889953613281,1,26.92519413846091,0.0,301.09678141276044,309.2694309779576,291.2646643622848,317.3736228464221,357.90036952274335,-17.06650882394291,-13.148892519449355,-3.9176163044935564,275.21235412597656,273.2768338012695,271.71250915527344,270.14818450927737,267.9210104370117,265.0840148925781,275.21235412597656,273.2768338012695,271.71250915527344,270.14818450927737,267.9210104370117,265.0840148925781,275.21235412597656,273.2768338012695,271.71250915527344,270.14818450927737,267.9210104370117,265.0840148925781,289.02349853515625,309.4844970703125,370.8249969482422,388.8594970703125,313.07359924316404,350.25414003211625,275.8930584542118,-215645332.0
